Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,IGN_title,IGN_year,IGN_score,IGN_source,GS_title,GS_year,GS_review,GS_metacritic,GS_user,GS_source,Gs_source
Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,4.34,2.71,3.96,0.76,11.77,,,,,,,,,,,,,,,,,
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,4.35,3.49,3.1,0.74,11.68,,,,,,,,,,,,,,,,,
Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,89.0,74.0,8.5,272.0,Polyphony Digital,E,,,,,Gran Turismo 4,2005,8.9,89,9,https://www.gamespot.com/gran-turismo-4/,
Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.06,3.35,1.2,0.74,11.35,97.0,73.0,8.9,2147.0,Nintendo,E,,,,,Super Mario Galaxy,2007,9.5,97,9.2,https://www.gamespot.com/super-mario-galaxy/,
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,,,,,,,,,,,Super Mario Land 2: 6 Golden Coins,1992,,,8.5,https://www.gamespot.com/super-mario-land-2-6-golden-coins/,
Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.76,3.07,0.14,1.03,11.01,98.0,86.0,7.9,2951.0,Rockstar North,M,Grand Theft Auto IV,2008,10,https://ca.ign.com/games/grand-theft-auto-iv/xbox-360-827005,Grand Theft Auto IV,2008,10,90,8.9,https://www.gamespot.com/grand-theft-auto-iv/,
Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,96.0,16.0,8.7,138.0,Polyphony Digital,E,Gran Turismo,,9,https://ca.ign.com/articles/1998/08/23/gran-turismo-3,Gran Turismo,1998,8.6,96,8.5,https://www.gamespot.com/gran-turismo/,
Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.89,3.0,2.14,0.78,10.81,90.0,82.0,8.4,921.0,Nintendo,E,Super Mario 3D Land,2011,9.5,https://ca.ign.com/games/super-mario-3d-land/3ds-99437,Super Mario 3D Land,2011,8,90,8.6,https://www.gamespot.com/super-mario-3d-land/,
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2.96,4.82,0.81,2.11,10.7,84.0,82.0,7.5,1112.0,Polyphony Digital,E,,,,,Gran Turismo 5,2010,8,84,8.5,https://www.gamespot.com/gran-turismo-5/,
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4.99,3.64,0.38,1.6,10.6,94.0,67.0,6.3,2073.0,Infinity Ward,M,,,,,Call of Duty: Modern Warfare 2,2009,8.5,86,8.3,https://www.gamespot.com/call-of-duty-modern-warfare-2/,
Super Mario All-Stars,SNES,1993,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,,,,,,,,,,,Super Mario All-Stars,1993,,,9.2,https://www.gamespot.com/super-mario-all-stars/,
Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,3.69,0.44,1.61,10.5,98.0,64.0,7.5,2833.0,Rockstar North,M,Grand Theft Auto IV,2008,10,https://ca.ign.com/games/grand-theft-auto-iv/xbox-360-827005,Grand Theft Auto IV,2008,10,90,8.9,https://www.gamespot.com/grand-theft-auto-iv/,
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,,,,,,,,,,,,,,,,,
Super Mario 64,DS,2004,Platform,Nintendo,5.01,3.07,1.25,0.97,10.3,,,,,,,,,,,Super Mario 64,1996,9.4,94,9,https://www.gamespot.com/super-mario-64/,
Call of Duty: Ghosts,X360,2013,Shooter,Activision,6.73,2.56,0.04,0.91,10.25,73.0,29.0,2.6,2117.0,Infinity Ward,M,,,,,Call of Duty: Ghosts,2013,8,68,5.8,https://www.gamespot.com/call-of-duty-ghosts/,
Just Dance 3,Wii,2011,Misc,Ubisoft,5.95,3.11,0.0,1.06,10.12,74.0,15.0,7.8,16.0,Ubisoft,E10+,,,,,Just Dance 3,2011,8,74,7.7,https://www.gamespot.com/just-dance-3/,
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.66,3.14,2.47,0.63,9.9,78.0,70.0,7.2,424.0,Nintendo,E,New Super Mario Bros. 2,2012,8.5,https://ca.ign.com/games/new-super-mario-bros-2/3ds-127315,,,,,,,
Mario Kart 64,N64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,,,,,,,Mario Kart 64,,8,https://ca.ign.com/articles/1997/02/21/mario-kart-64,Mario Kart 64,1997,6.4,83,8.5,https://www.gamespot.com/mario-kart-64/,
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,7.04,1.95,0.08,0.79,9.86,91.0,99.0,7.9,2045.0,Bungie,M,Halo: Reach,2010,8,https://ca.ign.com/games/halo-reach/xbox-360-14276699,Halo: Reach,2010,9.5,91,8.8,https://www.gamespot.com/halo-reach/,
Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,92.0,20.0,9.2,1282.0,SquareSoft,T,Final Fantasy VII,,8,https://ca.ign.com/articles/1998/08/13/final-fantasy-vii-3,Final Fantasy VII,1997,8,,9.5,https://www.gamespot.com/final-fantasy-vii/,
